category,mod,description,integration,png,matched_jar,matched_name
Core Progression,FTB Quests,"Quest book framework for chapters, tasks, rewards, dependencies, and party progression.","Make it the emotional spine: diagnosis, routines, rebuilding, duality, and ascension chapters that teach the pack gently.",notes/mod_thumbnail_cards/cards/01-core-progression-ftb-quests.png,ftb-quests-forge-2001.4.18.jar,FTB Quests
Core Progression,FTB Teams,Team system that lets players share progress and ownership.,"Tie skyblock islands, quest progress, and shared base milestones to a chosen support network instead of a solo grind.",notes/mod_thumbnail_cards/cards/02-core-progression-ftb-teams.png,ftb-teams-forge-2001.3.2.jar,FTB Teams
Core Progression,FTB Essentials,"Server and utility commands for homes, warps, nicknames, and quality server management.",Use homes/warps as safe return rituals so players can explore intensity without losing their center.,notes/mod_thumbnail_cards/cards/03-core-progression-ftb-essentials.png,ftb-essentials-forge-2001.2.4.jar,FTB Essentials
Core Progression,Quest Kill Task,Adds kill-count tasks for FTB Quests.,"Turn combat into contained challenge gates, with clear boss or mob tasks instead of vague danger spikes.",notes/mod_thumbnail_cards/cards/04-core-progression-quest-kill-task.png,Quest Kill Task-0.2.0+1.20.1-forge.jar,Quest Kill Task
Core Progression,Starter Kit,Gives configured starter items on first join.,Deliver the first comfort objects and practical tools as a deliberate landing ritual before the void opens up.,notes/mod_thumbnail_cards/cards/05-core-progression-starter-kit.png,starterkit-1.20.1-7.4.jar,Starter Kit
Skyblock Foundation,Skyblock Builder,"Creates the skyblock start flow, island templates, spawn behavior, and team islands.","Keep this as the literal rebirth system: chakra islands, safe spawn, starter routing, and controlled first steps.",notes/mod_thumbnail_cards/cards/06-skyblock-foundation-skyblock-builder.png,SkyblockBuilder-1.20.1-5.1.30.jar,Skyblock Builder
Skyblock Foundation,Skyblock Resources,Adds resource progression designed for skyblock play.,"Use it to replace missing overworld loops with intentional, quest-taught resource routines.",notes/mod_thumbnail_cards/cards/07-skyblock-foundation-skyblock-resources.png,skyblock_resources-1.3.0-forge-1.20.1.jar,Skyblock Resources
Skyblock Foundation,Sky Islands,Adds floating island content and sky exploration targets.,"Let nearby islands represent reachable pieces of self: small, themed recoveries rather than endless terrain.",notes/mod_thumbnail_cards/cards/08-skyblock-foundation-sky-islands.png,sky_isles-1.20.1-1.0.0.jar,Sky Isles
Skyblock Foundation,Skylands,Adds skyland terrain or support for skyland-style worlds.,Use it for larger transitional spaces once the player has learned how to survive the first platform.,notes/mod_thumbnail_cards/cards/09-skyblock-foundation-skylands.png,SkyLands-0.6.1.jar,Sky Lands
Skyblock Foundation,Sky Structures,Adds premade sky structures to discover.,Place structure discoveries as confidence checks after early routine quests.,notes/mod_thumbnail_cards/cards/10-skyblock-foundation-sky-structures.png,Sky Structures 1.0.0 - 1.20.1.jar,Sky Structures
Skyblock Foundation,Sky Villages,Adds villages or village-like life to sky worlds.,"Make social spaces optional sanctuaries where players trade, recover, and gather direction.",notes/mod_thumbnail_cards/cards/11-skyblock-foundation-sky-villages.png,SkyVillages-1.0.4-1.19.2-1.20.1-forge-release.jar,Sky Villages
Skyblock Foundation,Feur Skyland,Adds themed skyland content for floating-world exploration.,Use it as a midgame discovery layer after the first islands stop feeling impossible.,notes/mod_thumbnail_cards/cards/12-skyblock-foundation-feur-skyland.png,feur_skyland-1.20.1-forge.jar,Feur Skyland
Skyblock Foundation,Skyfall,Adds skyblock-focused progression and rewards.,Use drops or events as measured interruptions: novelty without overwhelming the starting routine.,notes/mod_thumbnail_cards/cards/13-skyblock-foundation-skyfall.png,skyfall-3.0.0-forge-1.20.1.jar,Skyfall
Skyblock Foundation,Skyfall Crates,Adds crate-style rewards for Skyfall.,"Reserve crates for celebratory quest rewards, not core progression, so the pack stays predictable.",notes/mod_thumbnail_cards/cards/14-skyblock-foundation-skyfall-crates.png,skyfall_crates-1.0.4.jar,Skyfall: Crates
Skyblock Foundation,SkyGUIs,Adds GUIs for skyblock workflows.,"Use it to reduce friction around island choices, teams, and skyblock management.",notes/mod_thumbnail_cards/cards/15-skyblock-foundation-skyguis.png,SkyGUIs-1.20.1-3.0.16.jar,Sky GUIs
Skyblock Foundation,CobbleGen Randomizer,Randomizes or expands cobblestone generator outputs.,Make the first generator a regulated resource engine that grows from basic stone into modded possibility.,notes/mod_thumbnail_cards/cards/16-skyblock-foundation-cobblegen-randomizer.png,cobblegenrandomizer-1.20.1-1.2.jar,CobbleGenRandomizer
Systems & Automation,Applied Energistics 2,"Digital storage, autocrafting, channels, networks, and spatially organized logistics.","Frame AE2 as externalized memory: naming, storing, retrieving, and automating what the player cannot hold in working memory.",notes/mod_thumbnail_cards/cards/17-systems-automation-applied-energistics-2.png,appliedenergistics2-forge-15.4.10.jar,Applied Energistics 2
Systems & Automation,AE2 Addons,"Addon set for AE2 cooking, Mekanism, Botania, and utility integration.",Let addons bridge special interests into one organized system without forcing the player to abandon their preferred branch.,notes/mod_thumbnail_cards/cards/18-systems-automation-ae2-addons.png,AE2-Things-1.2.1.jar,AE2 Things
Systems & Automation,Mekanism,"Large tech progression with machines, gases, ore processing, and high-end production chains.","Use it as the structured systems branch: stepwise upgrades, clean processing lines, and big satisfying machines.",notes/mod_thumbnail_cards/cards/19-systems-automation-mekanism.png,JustEnoughMekanismMultiblocks-1.20.1-4.17.jar,Just Enough Mekanism Multiblocks
Systems & Automation,Mekanism Generators,Power generation for Mekanism systems.,"Make power a visible regulation loop: fuel, buffer, output, and recovery.",notes/mod_thumbnail_cards/cards/20-systems-automation-mekanism-generators.png,MekanismGenerators-1.20.1-10.4.16.80.jar,Mekanism: Generators
Systems & Automation,Mekanism Tools,Tools and armor that pair with Mekanism progression.,Reward steady tech milestones with practical gear upgrades rather than random power jumps.,notes/mod_thumbnail_cards/cards/21-systems-automation-mekanism-tools.png,MekanismTools-1.20.1-10.4.16.80.jar,Mekanism: Tools
Systems & Automation,Mekanism Weapons,Combat gear extension for Mekanism.,Use as a late challenge-prep route for players who prefer engineered safety.,notes/mod_thumbnail_cards/cards/22-systems-automation-mekanism-weapons.png,MekanismWeapons-1.20.1-3.0.jar,Mekanism: Weapons
Systems & Automation,Thermal Series,"Thermal Foundation, Cultivation, Innovation, and related machinery/resources.","Use Thermal as the calm workshop branch: understandable machines, farming support, and low-drama automation.",notes/mod_thumbnail_cards/cards/23-systems-automation-thermal-series.png,thermal_cultivation-1.20.1-11.0.1.24.jar,Thermal Cultivation
Systems & Automation,Ender IO,"Conduits, machines, and compact tech logistics.",Make it the tidy-base option for players who want clean routing and hidden complexity.,notes/mod_thumbnail_cards/cards/24-systems-automation-ender-io.png,EnderIO-1.20.1-6.2.18-beta-all.jar,Ender IO
Systems & Automation,Industrial Foregoing,"Automation for farming, mobs, resources, and machines.",Use it to turn repetitive chores into reliable routines once the player proves the manual loop.,notes/mod_thumbnail_cards/cards/25-systems-automation-industrial-foregoing.png,industrial-foregoing-1.20.1-3.5.21.jar,Industrial Foregoing
